  Candidates  Preferences   Permutations
          12             1            12
          12             2           132
          12             3          1320
          12             4         11880
          12             5         95040
          12             6        665280
          12             7       3991680
          12             8      19958400
          12             9      79833600
          12            10     239500800
          12            11     479001600
          12            12     479001600
